Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2010-09-14,"""Swimming laps, freestyle, light/moderate effort""",Cardio,317.0,40,,,,,
2012-04-06,"""Golf, using power cart""",Cardio,1658.0,400,,,,,
2012-04-07,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,211.0,53,,,,,
2012-04-09,"""Softball or baseball, fast or slow pitch""",Cardio,269.0,45,,,,,
2012-04-10,"""Soccer, casual, general""",Cardio,125.0,15,,,,,
2012-04-14,"""Dancing, general""",Cardio,787.0,150,,,,,
2012-04-14,"""Walking, 4.0 mph, very brisk pace""",Cardio,437.0,75,,,,,
2012-05-10,"""Running (jogging), 6 mph (10 min mile)""",Cardio,326.0,27,,,,,
2012-05-12,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,211.0,53,,,,,
2012-05-15,"""Walking, 2.0 mph, slow pace""",Cardio,92.0,30,,,,,
2012-05-23,"""Golf, miniature or driving range""",Cardio,125.0,35,,,,,
2012-07-05,"""Tennis, singles""",Cardio,873.0,84,,,,,
2012-07-07,"""Canoeing, rowing, moderate effort""",Cardio,1001.0,110,,,,,
2012-07-14,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,1056.0,240,,,,,
2012-07-17,"""Golf, miniature or driving range""",Cardio,125.0,35,,,,,
2012-07-17,"""Running (jogging), 6 mph (10 min mile)""",Cardio,326.0,27,,,,,
2012-08-13,"""Running (jogging), 6 mph (10 min mile)""",Cardio,249.0,20,,,,,
2012-08-13,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,82.0,20,,,,,
2012-08-14,"""Walking, 2.0 mph, slow pace""",Cardio,140.0,45,,,,,
2012-08-15,"""Dancing, general""",Cardio,497.0,90,,,,,
2012-08-16,"""Canoeing, rowing, moderate effort""",Cardio,858.0,100,,,,,
2012-08-19,"""Swimming, leisurely, general""",Cardio,339.0,45,,,,,
2012-08-19,"""Volleyball, beach""",Cardio,302.0,30,,,,,
2012-08-20,"""Swimming, treading water, fast/vigorous""",Cardio,944.0,75,,,,,
2012-08-20,"""Volleyball, beach""",Cardio,604.0,60,,,,,
2012-10-11,"""Football, touch, flag, general""",Cardio,284.0,30,,,,,
2012-10-11,"""Running (jogging), 6 mph (10 min mile)""",Cardio,178.0,15,,,,,
2012-10-11,"""Walking, 2.0 mph, slow pace""",Cardio,30.0,10,,,,,
2012-10-12,"""Running (jogging), 6 mph (10 min mile)""",Cardio,177.0,15,,,,,
2012-10-12,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,58.0,15,,,,,
2012-10-13,"""Running (jogging), 6 mph (10 min mile)""",Cardio,177.0,15,,,,,
2012-10-13,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,78.0,20,,,,,
2012-10-15,"""Running (jogging), 6 mph (10 min mile)""",Cardio,177.0,15,,,,,
2012-10-15,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,156.0,40,,,,,
2012-10-16,"""Running (jogging), 6 mph (10 min mile)""",Cardio,177.0,15,,,,,
2012-10-16,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,156.0,40,,,,,
2012-10-26,"""Running (jogging), 6 mph (10 min mile)""",Cardio,533.0,45,,,,,
2012-10-27,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,195.0,50,,,,,
2013-03-10,"""Running (jogging), 6 mph (10 min mile)""",Cardio,110.0,9,,,,,
2013-03-14,"""Running (jogging), 6 mph (10 min mile)""",Cardio,627.0,50,,,,,
2013-03-14,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,124.0,30,,,,,
2013-03-14,"""Walking, 4.0 mph, very brisk pace""",Cardio,188.0,30,,,,,
2013-04-28,"""Running (jogging), 6 mph (10 min mile)""",Cardio,300.0,25,,,,,
2013-06-27,"""Tennis, singles""",Cardio,908.0,90,,,,,
2014-06-28,"""Tennis, singles""",Cardio,917.0,90,,,,,
2014-07-12,"""Tennis, singles""",Cardio,1531.0,150,,,,,
2014-08-23,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,800.0,191,,,,,
2014-08-24,"""Swimming, leisurely, general""",Cardio,76.0,10,,,,,
2014-08-24,"""Tennis, singles""",Cardio,406.0,40,,,,,
2017-01-22,Samsung calorie adjustment,Cardio,367.0,1,,,,,
2017-01-23,Samsung calorie adjustment,Cardio,161.0,1,,,,,
2017-01-24,Samsung calorie adjustment,Cardio,270.0,1,,,,,
2017-01-25,Samsung calorie adjustment,Cardio,500.0,1,,,,,
2017-01-26,Samsung calorie adjustment,Cardio,290.0,1,,,,,
2017-01-27,Samsung calorie adjustment,Cardio,318.0,1,,,,,
2017-01-28,Samsung calorie adjustment,Cardio,264.0,1,,,,,
