Date,Hips,Neck,Waist,Weight
2010-09-14,,,,150.0
2010-09-16,,,,149.7
2011-02-18,,,,152.2
2011-02-21,,,,146.2
2011-02-25,,,,143.1
2011-02-28,,,,147.3
2011-03-14,,,,145.2
2011-03-19,,,,143.3
2011-04-09,,,,143.6
2011-04-28,,,,143.3
2011-05-16,,,,152.7
2011-05-20,,,,151.8
2011-05-26,,,,153.6
2011-08-31,,,,156.2
2011-09-01,,,,155.5
2011-09-02,,,,153.6
2011-09-06,,,,154.9
2011-09-09,,,,154.4
2011-09-15,,,,154.9
2011-09-16,,,,153.6
2011-09-17,,,,154.8
2011-09-19,,,,156.8
2011-09-22,,,,156.5
2011-09-23,,,,156.5
2011-09-26,,,,156.5
2011-10-01,,,,154.8
2011-10-06,,,,155.4
2011-10-07,,,,154.4
2011-10-09,,,,155.0
2011-10-15,,,,154.8
2011-10-22,,,,154.9
2011-10-24,,,,158.8
2011-10-30,,,,154.0
2011-11-02,,,,157.5
2011-11-12,,,,158.5
2011-11-14,,,,160.7
2011-11-15,,,,156.6
2011-11-19,,,,159.1
2011-11-21,,,,159.5
2011-11-28,,,,159.6
2011-11-30,,,,157.7
2011-12-09,,,,159.1
2011-12-15,,,,159.2
2011-12-23,,,,161.8
2012-01-02,,,,163.0
2012-01-07,,,,163.8
2012-01-08,,,,161.0
2012-01-10,,,,160.8
2012-01-16,,,,159.1
2012-01-18,,,,159.3
2012-01-22,,,,157.6
2012-02-04,,,,156.7
2012-02-05,,,,158.2
2012-02-09,,,,154.5
2012-02-10,,,,154.1
2012-02-12,,,,151.1
2012-02-15,,,,151.7
2012-02-16,,,,151.6
2012-02-18,,,,150.0
2012-02-19,,,,150.9
2012-02-21,,,,152.5
2012-02-23,,,,153.3
2012-02-24,,,,152.4
2012-02-27,,,,154.7
2012-02-28,,,,152.8
2012-03-01,,,,150.1
2012-03-03,,,,148.6
2012-03-04,,,,149.3
2012-03-05,,,,147.4
2012-03-07,,,,148.0
2012-03-13,,,,148.2
2012-03-15,,,,149.0
2012-03-19,,,,154.8
2012-03-20,,,,152.0
2012-03-21,,,,153.7
2012-03-22,,,,152.1
2012-03-23,,,,150.8
2012-03-24,,,,146.9
2012-03-25,,,,146.3
2012-03-31,,,,146.7
2012-04-02,,,,148.3
2012-04-03,,,,149.5
2012-04-05,,,,153.2
2012-04-06,,,,156.7
2012-04-07,,,,159.4
2012-04-08,,,,162.1
2012-04-09,,,,162.1
2012-04-10,,,,158.3
2012-04-11,,,,155.4
2012-04-12,,,,154.6
2012-04-13,,,,154.2
2012-04-15,,,,156.8
2012-04-16,,,,155.0
2012-04-17,,,,155.0
2012-04-19,,,,155.9
2012-04-23,,,,163.1
2012-04-24,,,,160.0
2012-04-25,,,,160.2
2012-04-26,,,,163.1
2012-04-27,,,,158.8
