Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-01-20,Irregular,1434.4,60.2,11.3,0.1,5.0,0.0,270.7,1764.0,250.3,130.9,12.6,2.8,109.6,3.8,3.6,8.7,24.2,
2017-01-20,Regular,633.3,12.0,2.0,4.0,4.0,0.0,0.0,100.0,660.0,108.0,16.0,4.0,26.7,0.0,0.0,0.0,40.0,
2017-01-21,Regular,2001.7,66.9,20.3,0.0,1.6,0.0,2507.4,1305.6,3148.9,199.9,26.1,1.0,145.0,78.0,119.1,30.0,105.1,
2017-01-22,Regular,2001.7,66.9,20.3,0.0,1.6,0.0,2507.4,1305.6,3148.9,199.9,26.1,1.0,145.0,78.0,119.1,30.0,105.1,
2017-01-23,Regular,390.0,7.5,1.5,0.0,3.0,0.0,195.0,700.0,360.0,8.0,4.0,4.0,73.0,0.0,100.0,4.0,12.0,
2017-01-24,Regular,2549.7,131.0,24.4,29.3,53.3,0.0,1006.3,1384.4,5447.8,199.8,31.9,6.5,130.2,30.0,314.7,10.0,100.9,
2017-01-25,Regular,1379.8,16.6,2.3,0.0,4.5,0.0,292.5,1030.0,620.0,200.3,35.3,2.0,137.5,0.0,0.0,8.0,58.6,
2017-01-26,Regular,2010.3,64.1,20.3,0.0,1.6,0.0,2507.4,1350.1,7110.0,195.6,23.0,0.0,145.7,78.0,382.7,26.0,134.8,
2017-01-27,Irregular,262.6,12.6,3.2,4.5,2.0,0.0,35.0,182.9,0.0,35.6,0.3,16.9,2.7,4.0,0.0,2.7,5.3,
2017-01-27,Regular,1820.5,57.9,17.3,0.0,1.6,0.0,2137.4,1161.4,2733.3,191.2,25.1,1.0,131.6,66.0,102.1,26.0,93.7,
2017-01-28,Irregular,2175.0,114.4,37.1,2.0,3.3,1.0,159.5,4718.3,1219.0,236.9,31.5,24.8,79.3,37.2,104.0,26.7,48.3,
2017-01-28,Regular,371.3,8.4,1.7,0.0,3.4,0.0,219.4,742.5,0.0,0.0,0.0,0.0,77.6,0.0,0.0,0.0,13.5,
2017-01-29,Regular,2488.3,70.8,18.8,6.0,7.5,0.0,1947.5,1190.0,2310.0,309.0,47.0,11.0,156.2,60.0,100.0,28.0,129.0,
2017-01-30,Regular,2493.6,78.0,19.6,6.8,13.5,0.0,1947.5,1311.9,5641.1,290.8,41.8,6.5,151.7,60.0,363.7,28.0,124.7,
2017-01-30,Snacks,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.0,0.0,2.4,0.0,1.8,3.0,0.0,0.0,
2017-01-31,Regular,2488.3,70.8,18.8,6.0,7.5,0.0,1947.5,1190.0,2310.0,309.0,47.0,11.0,156.2,60.0,100.0,28.0,129.0,
2017-02-01,Regular,2191.5,58.3,17.3,0.0,1.5,0.0,2132.5,1217.2,5228.9,266.5,37.0,5.0,144.7,66.0,333.9,30.0,119.8,
2017-02-01,Snacks,259.0,11.2,5.6,0.0,0.0,0.0,38.5,154.0,0.0,37.8,1.4,31.5,4.2,5.6,0.0,5.6,4.2,
2017-02-02,Regular,2325.4,58.6,17.3,0.0,1.5,0.0,2132.5,1230.7,6124.5,294.8,40.3,5.0,149.3,66.0,389.2,30.0,130.8,
2017-02-02,Snacks,129.5,5.6,2.8,0.0,0.0,0.0,19.2,77.0,0.0,18.9,0.7,15.7,2.1,2.8,0.0,2.8,2.1,
2017-02-03,Irregular,1920.0,63.0,48.0,0.0,0.0,0.0,0.0,2021.0,0.0,181.0,6.0,11.0,47.0,0.0,0.0,0.0,0.0,
2017-02-03,Regular,470.0,8.5,1.5,0.0,3.0,0.0,195.0,660.0,0.0,29.0,1.0,0.0,72.0,0.0,0.0,0.0,14.0,
2017-02-03,Snacks,140.0,4.0,0.0,0.0,0.0,0.0,20.0,170.0,0.0,26.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,
2017-02-04,Regular,2488.3,70.8,18.8,6.0,7.5,0.0,1947.5,1190.0,2310.0,309.0,47.0,11.0,156.2,60.0,100.0,28.0,129.0,
2017-02-05,Regular,2457.5,68.0,18.8,6.0,7.5,0.0,1947.5,1196.5,6048.9,301.1,40.3,6.0,153.6,60.0,272.2,20.0,160.4,
2017-02-06,Regular,2423.6,73.5,18.1,6.8,13.5,0.0,1762.5,1241.9,5571.1,290.8,41.8,6.5,145.7,54.0,363.7,26.0,120.7,
2017-02-06,Snacks,65.0,3.5,1.0,0.0,0.0,0.0,2.5,67.5,0.0,6.5,0.5,3.0,0.5,0.0,0.0,0.0,0.0,
2017-02-07,Regular,2493.6,78.0,19.6,6.8,13.5,0.0,1947.5,1311.9,5641.1,290.8,41.8,6.5,151.7,60.0,363.7,28.0,124.7,
2017-02-08,Dinner,2203.7,130.6,45.7,4.3,3.2,2.0,640.9,3955.9,193.0,145.3,3.7,51.6,106.2,1657.4,11.4,582.0,12.9,
2017-02-08,Regular,855.0,7.8,0.8,0.0,1.5,0.0,97.5,390.0,670.0,147.0,23.0,5.0,59.5,0.0,100.0,8.0,29.0,
2017-02-08,Snacks,350.0,17.5,7.5,0.0,0.0,0.0,25.0,250.0,0.0,45.0,0.0,25.0,5.0,0.0,0.0,0.0,10.0,
2017-02-09,Regular,1570.0,54.0,8.3,11.3,24.0,0.0,260.0,1162.5,310.0,154.0,24.0,3.5,130.5,0.0,0.0,4.0,44.0,
2017-02-10,Regular,2493.6,78.0,19.6,6.8,13.5,0.0,1947.5,1311.9,5641.1,290.8,41.8,6.5,151.7,60.0,363.7,28.0,124.7,
2017-02-11,Dinner,279.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-02-11,Regular,2222.7,63.2,17.3,6.0,7.5,0.0,1762.5,1109.9,4876.7,266.3,36.2,6.0,142.0,54.0,204.1,18.0,142.8,
2017-02-12,Regular,2486.3,72.4,20.3,6.0,7.5,0.0,2132.5,1262.4,5843.4,292.4,39.3,6.0,158.2,66.0,255.1,22.0,161.0,
2017-02-13,Regular,2493.6,78.0,19.6,6.8,13.5,0.0,1947.5,1311.9,5641.1,290.8,41.8,6.5,151.7,60.0,363.7,28.0,124.7,
2017-02-14,Regular,2343.0,73.4,18.1,6.8,13.5,0.0,1762.5,1199.9,5073.4,278.4,37.3,2.5,141.0,54.0,255.1,22.0,119.0,
2017-02-14,Snacks,129.8,4.9,2.4,0.6,0.3,0.0,1.6,147.6,21.0,20.7,1.2,15.5,1.2,0.6,0.0,1.8,6.7,
2017-02-15,Regular,2493.6,78.0,19.6,6.8,13.5,0.0,1947.5,1311.9,5641.1,290.8,41.8,6.5,151.7,60.0,363.7,28.0,124.7,
2017-02-16,Regular,2433.6,78.0,19.6,6.8,13.5,0.0,1947.5,1271.9,5281.1,282.8,37.8,2.5,147.7,60.0,263.7,24.0,124.7,
2017-02-17,Dinner,1222.8,49.5,24.4,0.4,2.7,0.0,156.5,572.5,1812.2,90.3,8.8,10.6,68.0,23.8,112.3,17.1,52.2,
2017-02-17,Regular,1105.0,27.8,3.9,5.6,11.5,0.0,97.5,521.3,670.0,154.5,25.5,6.3,68.3,0.0,100.0,8.0,31.5,
2017-02-17,Snacks,145.0,9.5,4.0,0.0,0.0,0.0,12.5,160.0,0.0,14.0,0.5,5.0,2.0,0.0,0.0,0.0,0.0,
2017-02-18,Regular,2486.3,72.4,20.3,6.0,7.5,0.0,2132.5,1262.4,5843.4,292.4,39.3,6.0,158.2,66.0,255.1,22.0,161.0,
2017-02-19,Regular,2348.5,68.0,18.8,6.1,7.5,0.0,1947.5,1186.5,5323.8,277.5,39.2,10.8,149.8,131.0,453.9,20.8,151.2,
2017-02-20,Regular,2210.0,62.7,18.8,0.0,1.5,0.0,2317.5,1282.0,4954.5,255.7,35.8,5.0,149.0,72.0,312.6,32.0,119.5,
2017-02-21,Regular,2251.2,62.8,18.8,0.0,1.5,0.0,2317.5,1286.1,5230.0,264.4,36.8,5.0,150.4,72.0,329.6,32.0,122.9,
2017-02-22,Regular,2251.2,62.8,18.8,0.0,1.5,0.0,2317.5,1286.1,5230.0,264.4,36.8,5.0,150.4,72.0,329.6,32.0,122.9,
2017-02-23,Regular,2251.2,62.8,18.8,0.0,1.5,0.0,2317.5,1286.1,5230.0,264.4,36.8,5.0,150.4,72.0,329.6,32.0,122.9,
2017-02-24,Regular,2251.2,62.8,18.8,0.0,1.5,0.0,2317.5,1286.1,5230.0,264.4,36.8,5.0,150.4,72.0,329.6,32.0,122.9,
2017-02-25,Regular,1952.5,62.3,18.8,0.0,1.5,0.0,2317.5,1256.0,3232.2,201.3,29.4,5.0,140.2,72.0,206.3,32.0,98.3,
2017-02-26,Regular,2458.8,71.7,20.1,6.0,7.3,0.0,2116.3,1207.4,5843.4,292.4,39.3,6.0,152.5,66.0,255.1,22.0,160.0,
2017-02-27,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-02-28,Regular,2460.8,70.1,18.6,6.0,7.3,0.0,1931.3,1135.0,2310.0,309.0,47.0,11.0,150.5,60.0,100.0,28.0,128.0,
2017-03-01,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-02,Regular,2402.7,77.9,19.6,6.8,13.5,0.0,1947.5,1268.8,5074.5,276.2,37.1,2.5,146.6,60.0,250.9,24.0,122.2,
2017-03-03,Regular,2407.3,71.6,20.1,6.0,7.3,0.0,2116.3,1202.2,5498.9,281.5,38.0,6.0,150.7,66.0,233.9,22.0,155.8,
2017-03-04,Regular,2407.3,71.6,20.1,6.0,7.3,0.0,2116.3,1202.2,5498.9,281.5,38.0,6.0,150.7,66.0,233.9,22.0,155.8,
2017-03-05,Regular,2402.7,77.9,19.6,6.8,13.5,0.0,1947.5,1268.8,5074.5,276.2,37.1,2.5,146.6,60.0,250.9,24.0,122.2,
2017-03-06,Regular,2410.2,78.8,18.2,12.8,19.8,0.0,1408.8,1182.4,4736.7,275.3,39.2,7.5,146.3,42.0,204.1,14.0,138.8,
2017-03-07,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-08,Regular,2420.0,69.5,10.8,17.3,29.0,0.0,195.0,982.5,1510.0,324.0,52.0,13.5,141.5,0.0,100.0,8.0,100.0,
2017-03-09,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-10,Regular,2447.0,99.7,23.5,13.5,26.0,0.0,1980.0,1548.6,6900.0,213.6,29.0,3.0,158.5,60.0,382.7,20.0,130.5,
2017-03-11,Regular,2410.2,78.8,18.2,12.8,19.8,0.0,1408.8,1182.4,4736.7,275.3,39.2,7.5,146.3,42.0,204.1,14.0,138.8,
2017-03-12,Regular,2407.3,71.6,20.1,6.0,7.3,0.0,2116.3,1202.2,5498.9,281.5,38.0,6.0,150.7,66.0,233.9,22.0,155.8,
2017-03-13,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-14,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-15,Regular,2637.2,79.2,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,320.4,42.1,6.5,154.3,60.0,346.6,28.0,123.9,
2017-03-16,Regular,2452.4,77.9,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,282.1,40.8,6.5,150.3,60.0,346.6,28.0,121.3,
2017-03-17,Regular,2642.8,79.3,19.6,6.8,13.5,0.0,1947.5,1307.8,5365.6,321.5,42.2,6.5,154.4,60.0,346.6,28.0,124.0,
2017-03-18,Regular,2407.3,71.6,20.1,6.0,7.3,0.0,2116.3,1202.2,5498.9,281.5,38.0,6.0,150.7,66.0,233.9,22.0,155.8,
2017-03-19,Regular,2200.0,67.5,18.8,6.0,7.5,0.0,1947.5,1170.5,4326.7,246.8,34.0,6.0,144.8,60.0,165.8,20.0,139.2,
2017-03-20,Regular,2672.3,88.5,25.7,3.2,2.8,0.0,3057.5,1530.4,4833.2,286.0,33.5,3.1,172.9,123.6,339.8,36.3,137.8,
2017-03-21,Regular,1700.7,26.5,3.4,4.7,5.6,0.0,254.5,1375.3,1943.2,259.4,27.8,47.4,121.2,24.3,209.5,12.9,58.5,
2017-03-22,Regular,2411.9,82.6,24.2,3.2,2.8,0.0,2872.5,1460.4,4763.2,246.6,32.1,3.1,162.8,117.6,339.8,34.3,131.1,
2017-03-23,Regular,2201.9,69.1,19.7,3.2,2.8,0.0,2317.5,1250.4,4553.2,246.6,32.1,3.1,144.8,99.6,339.8,28.3,119.1,
2017-03-24,Regular,2201.9,69.1,19.7,3.2,2.8,0.0,2317.5,1250.4,4553.2,246.6,32.1,3.1,144.8,99.6,339.8,28.3,119.1,
2017-03-25,Regular,2200.0,67.5,18.8,6.0,7.5,0.0,1947.5,1170.5,4326.7,246.8,34.0,6.0,144.8,60.0,165.8,20.0,139.2,
2017-03-26,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-03-27,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-03-28,Irregular,120.0,5.5,3.0,0.0,0.0,0.0,12.5,160.0,0.0,16.5,0.5,11.0,1.5,0.0,0.0,1.0,5.0,
2017-03-28,Regular,1876.2,62.4,18.4,3.2,3.3,0.0,2165.0,1302.6,6308.8,175.0,21.1,2.1,140.1,93.6,471.6,22.3,120.5,
2017-03-29,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-03-30,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-03-31,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-04-01,Regular,1776.5,73.5,21.4,3.2,3.3,0.0,2535.0,1380.5,1316.5,130.7,19.5,3.1,144.3,105.6,135.7,30.3,83.5,
2017-04-02,Regular,2698.2,71.5,19.7,3.2,2.8,0.0,2317.5,1272.2,5999.9,350.3,39.5,3.1,158.1,99.6,429.1,28.3,141.0,
2017-04-03,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-04-04,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
2017-04-05,Regular,1999.1,65.2,18.4,3.2,3.3,0.0,2165.0,1277.1,3601.4,207.2,28.5,3.1,144.6,93.6,285.4,26.3,105.4,
